company_ref,account_name
8f073073-a3bb-48ab-9a3d-a21ee7531d03,119 LE HAVRE HARFLEUR
a801421a-7753-4f33-8e5c-0251f4c2b6d9,120 GENNEVILLIERS
73d0ac91-5dc5-4aeb-9d36-0c547fc34328,121 LA ROCHELLE
bce3f2ec-d838-49c0-b9b0-2785b6a049cb,122 AUXERRE
00a0cb61-b64d-4c56-bfb1-1cbaec998c7c,124 STE GENEVIEVE
fb51c53e-f0ef-40b9-aa68-43b8d8a6a1f8,125 GRASSE
3adee68c-fe0d-4274-b8a8-c3412c53ef3b,126 TOULON OLLIOULES
281e69ad-8517-4cbb-ab37-00b1b2eed059,128 ANGERS MURS ERIGNE
7537e200-ca00-4aa1-abd0-cd13cba2ed1b,129 AGEN
df69ccc7-3f4f-45b1-9e6b-faa2da8dc7f5,130 FRESNES
9869f146-a93c-49b0-a159-dd609dcb4b66,131 AJACCIO
e11db1f6-7358-40b0-8494-7760a095b8ef,132 TOULON LA VALETTE
58d57e6d-bcc3-4071-a454-dc195926d0f6,133 BIGANOS
5d7550f9-64bf-4feb-a3fa-3871a6d678ad,135 BEAUVAIS
16cd22dc-a951-4ed7-95d4-00c5bb1b5891,136 LOUVROIL
3454bae2-fd54-474c-8492-8665d7401a41,137 ST MALO
ad32220a-7a22-45be-8d8d-b44e44b6b719,138 CAEN ROTS
33d98adf-3b2c-4e04-a39b-519034a07cc5,139 RONCQ
03d6e0da-813f-47b7-aa61-560c52396652,140 RAMBOUILLET
62020597-299c-45bc-a521-8cded64612e6,141 ARRAS
34e00a4c-374f-45dc-9bfc-8d4492c50f16,142 TOULOUSE ST ORENS
c8c9d0f5-d852-4eb4-a819-aab6cca4d1da,143 ROUBAIX LEERS
b8699be6-d6fc-4a3f-956a-eac5387a0307,144 ALENCON
514398fb-3da5-4e01-bb23-9c955f5204a1,145 ANGERS ATOLL
9fbd6e13-c842-45de-a9d1-4ded041e6d31,146 CLERMONT RIOM
38ae1f2e-8344-4e7d-b560-ee87a7c7bf16,147 QUIMPER
d8c3ba08-4610-46b6-8cd5-5dbbd4c621a4,148 LE MANS RUAUDIN
2e5b3378-1df3-4b58-a280-aa2027290a67,150 MONTPELLIER LATTES
a7a8df4c-0bcc-4d85-af0b-eaa1fc1040fc,151 RENNES CHANTEPIE
88454772-65f5-480b-993e-83c109da0bdf,152 MONTPELLIER ST JEAN DE VEDAS
1449fbd7-3840-46d1-bdd5-ecae2054d368,153 PERPIGNAN CLAIRA
02f920f4-75a7-433a-8db5-3505f1857293,154 ARLES
